Criteria,Model,AIC,MAE,RMSE
Best AIC,"(3,0,3)",290702.2811423063,80.58696646313118,106.4989669615112
Best BIC,"(1,1,2)",290729.366725016,91.8277880557323,111.94555017769989
Best MAE,"(1,0,0)",291784.4634835435,79.61210788835862,105.21200476093942
Best RMSE,"(1,0,0)",291784.4634835435,79.61210788835862,105.21200476093942
